sample_id,question_type,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior,judge_reasoning
1,comparative,0.7857142857142857,0.814755490491884,0.49999999995,1.0,0.6862465041675627,0.17156162604189068,,
2,ambiguous,,,,,,,1.0,"The system responded appropriately to the user's request by extracting and structuring the available information from the context. It clearly identified the specific academic year (2021-2022) and explicitly noted where information was missing (e.g., 'No especificado en el contexto'), maintaining consistency with the provided data."
3,procedural,1.0,0.0,0.7499999999625,1.0,0.8578555828515901,0.7599184411674429,,
4,factual,1.0,0.801934569202353,0.4444444444296296,1.0,0.41614747226602855,0.10403686806650714,,
5,factual,1.0,0.7465570314993011,0.49999999995,1.0,0.7712920522022815,0.9428230130505704,,
6,factual,1.0,0.8417618502612165,0.49999999995,1.0,0.40897087661692333,0.6022427191542308,,
7,ambiguous,,,,,,,1.0,The system correctly identified that the information was missing from the provided context and explicitly stated it could not find the specific objectives.
8,out_of_scope,,,,,,,1.0,The system correctly and clearly admitted that it does not have the specific information requested within the provided context.
9,factual,0.8333333333333334,0.5045361170210305,0.8055555555287036,1.0,0.7465082513188959,0.486627062829724,,
10,procedural,0.9090909090909091,0.6053449542445454,0.9999999999666667,1.0,0.5969160577236143,0.4492290144309036,,
11,comparative,0.9047619047619048,0.8724146127355349,0.4166666666458333,1.0,0.6981666977107646,0.4848865020138981,,
12,procedural,0.9047619047619048,0.9709262611210602,0.0,0.0,0.8155503369970708,0.2615798919415754,,
13,procedural,0.4444444444444444,0.7076018997043082,0.9999999999,1.0,0.7836583780553285,0.8387717373709749,,
14,comparative,0.9047619047619048,0.8768448278110658,0.3333333333,1.0,0.7186848180487857,0.6296712045121964,,
15,comparative,0.6666666666666666,0.0,0.0,0.0,0.6328256917451547,0.15820642293628867,,
16,ambiguous,,,,,,,1.0,"The system provided a clear, direct answer based on the course requirements, resolving the ambiguity of the scenario by explaining the necessary conditions for passing."
17,ambiguous,,,,,,,1.0,"The system provided a precise and direct answer based on the specific competencies (CG01) requested, resolving the ambiguity by extracting the exact requirements from the course documentation."
18,procedural,0.8571428571428571,0.0,0.9999999999,1.0,0.7107337811784673,0.5526834452946168,,
19,factual,1.0,0.6482577911733999,0.49999999995,1.0,0.9066854943310205,0.6016713735827551,,
20,comparative,1.0,0.6577774773078717,0.3333333333,1.0,0.7897956073204956,0.7429034472846693,,
21,procedural,1.0,0.0,0.9666666666473333,1.0,0.5785881489931398,0.6446470372482849,,
22,factual,1.0,0.6441828401695501,0.99999999995,1.0,0.6970237364802211,0.9242559341200552,,
23,factual,0.8947368421052632,0.6656162600527081,0.3333333333,1.0,0.6789013546721934,0.3742707932135029,,
24,factual,0.75,0.544390977277433,0.8099999999838,1.0,0.456471539464616,0.7569750277232968,,
25,procedural,1.0,0.5100999192626422,0.99999999995,1.0,0.6170717665226793,0.45426794163066986,,
26,comparative,0.7333333333333333,0.8797666360053005,0.0,0.5,0.8302178936529259,0.2908878067465648,,
27,factual,1.0,0.5252244375719047,0.9999999999,1.0,0.9568911432997398,0.989222785824935,,
28,factual,1.0,0.856048130325121,0.9999999999833333,1.0,0.7676090921502858,0.9419022730375715,,
29,comparative,0.8461538461538461,0.0,0.0,0.0,0.5795470610145834,0.14488676525364586,,
30,factual,0.6666666666666666,0.796368227428983,0.9999999999,1.0,0.31447857964717174,0.07861964491179294,,
