sample_id,question_type,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior,judge_reasoning
1,comparative,0.9166666666666666,0.8947685598121474,0.49999999995,1.0,0.7562919136452552,0.3044575937959292,,
2,ambiguous,,,,,,,1.0,"The system provided a specific, structured answer based on the available data for the requested course and academic year, resolving the ambiguity by providing the most relevant information found in the context."
3,procedural,0.2222222222222222,0.5960861254985778,0.8333333332916666,1.0,0.6815339121940818,0.29538347804852044,,
4,factual,1.0,0.2916771418701116,0.4444444444296296,1.0,0.28752333342012837,0.07188083335503209,,
5,factual,1.0,0.5924917744078507,0.49999999995,1.0,0.6031585646594304,0.9007896411648576,,
6,factual,1.0,0.8002214542483118,0.49999999995,1.0,0.5427490982976508,0.8856872745744127,,
7,ambiguous,,,,,,,1.0,"The system correctly and concisely stated that the information was not available in the provided context, avoiding hallucinations or external data."
8,out_of_scope,,,,,,,1.0,"The system correctly and clearly admitted that it does not know the specific information requested, adhering to the safety rules for out-of-scope questions."
9,factual,1.0,0.7248131739205569,0.8055555555287036,1.0,0.9928199393269076,0.9982049848317269,,
10,procedural,1.0,0.40138812214514125,0.9999999999666667,1.0,0.7392402731179137,0.5939009773703875,,
11,comparative,0.85,0.8354131286585088,0.4166666666458333,1.0,0.663963855158338,0.45445250225112294,,
12,procedural,0.8333333333333334,0.9753792364597095,0.0,0.0,0.827867842088168,0.2952022546396891,,
13,procedural,0.0,0.5912861687879553,0.9999999999,1.0,0.7948823523217864,0.7513521670278149,,
14,comparative,0.9285714285714286,0.8271421426907879,0.3333333333,1.0,0.7247983074834611,0.5145329102041987,,
15,comparative,0.0,0.0,0.0,0.0,0.5907858550809775,0.14769646377024437,,
16,ambiguous,,,,,,,1.0,"The system provided a clear, direct answer based on the course rules, resolving the ambiguity of the student's situation consistently with the provided requirements."
17,ambiguous,,,,,,,1.0,"The system provided a precise and direct answer based on the specific course competencies (CG01) requested, resolving the ambiguity by providing the exact technical requirement from the curriculum."
18,procedural,0.5,0.7080275677276222,0.9999999999,1.0,0.8222859781779103,0.5805714945444775,,
19,factual,1.0,0.6938428574181588,0.49999999995,1.0,0.9952889301617787,0.9988222325404447,,
20,comparative,1.0,0.6529052313196824,0.3333333333,1.0,0.7488879166659506,0.33722197916648766,,
21,procedural,1.0,0.0,0.9666666666473333,1.0,0.650225244198495,0.6625563110496238,,
22,factual,1.0,0.5627526656268106,0.99999999995,1.0,0.6879297897155392,0.9219824474288848,,
23,factual,1.0,0.6599479463550978,0.3333333333,1.0,0.6852589805199563,0.29631474512998907,,
24,factual,0.875,0.9913417481980497,0.8099999999838,1.0,0.6072653850982146,0.2400516403922007,,
25,procedural,1.0,0.9599070738101979,0.99999999995,1.0,0.6501792628491283,0.7625448157122822,,
26,comparative,0.6875,0.9113956840429825,0.0,0.5,0.9127708568324919,0.44247842849383723,,
27,factual,1.0,0.5053684087960737,0.9999999999,1.0,0.9564755486436283,0.9891188871609071,,
28,factual,1.0,0.6062394116187794,0.9999999999833333,1.0,0.9091114204704678,0.9772778551176169,,
29,comparative,0.46153846153846156,0.8682913215502118,0.0,0.0,0.715222150193493,0.5317467140189615,,
30,factual,0.0,0.9134431697099896,0.9999999999,1.0,0.2908309481916608,0.0727077370479152,,
31,comparative,0.85,0.9584639566388765,0.9999999999666667,1.0,0.7629230845344501,0.3782307711336125,,
32,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not know the answer, which is the required behavior for out-of-scope questions."
33,factual,1.0,0.8061732242550509,0.9999999999,1.0,0.807546714041617,0.7312984432162866,,
34,factual,1.0,0.6986915474317646,0.999999999975,1.0,0.537757790682333,0.8844394476705832,,
35,factual,1.0,0.27541556424094465,0.99999999995,1.0,0.9791237941872986,0.9947809485468246,,
36,factual,1.0,0.5420161203344228,0.999999999975,1.0,0.5060003242717834,0.8765000810679459,,
37,factual,1.0,0.6556167265442022,0.81666666664625,1.0,0.5831996420817658,0.8957999105204415,,
38,procedural,1.0,0.8330280343413444,0.99999999995,1.0,0.7388370522195412,0.4847092630548854,,
39,factual,1.0,0.5849506079119521,0.8333333332916666,1.0,0.4289592785698312,0.1072398196424578,,
40,factual,0.5,0.2618155799952904,0.49999999995,1.0,0.6862269850786357,0.6715567462696589,,
41,factual,0.5,0.6771011211687532,0.9999999999,1.0,0.5544202169326131,0.3886050542331533,,
