sample_id,question_type,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior,judge_reasoning
1,procedural,1.0,0.8601668743541048,0.524999999986875,1.0,0.5079932124872819,0.5555697316932491,,
2,ambiguous,,,,,,,1.0,The system correctly identified the ambiguity in the context (different weights for different evaluation modalities) and provided a comprehensive answer that covers all possible scenarios based on the provided data.
3,factual,1.0,0.8251815248694744,0.9999999999666667,1.0,0.590914767278196,0.8977286918195491,,
4,comparative,0.7142857142857143,0.8708579745538314,0.9999999999,0.5,0.6534758999142275,0.5383689749785568,,
5,comparative,0.6666666666666666,0.0,0.0,0.0,0.6435564854271488,0.32755578802345386,,
6,procedural,1.0,0.840771640767119,0.9999999999,0.0,0.5536182638602956,0.1960968736573816,,
7,ambiguous,,,,,,,1.0,The system correctly identified the ambiguity in the user's question (continuous assessment vs. final exam) and provided both possible correct answers based on the provided context.
8,factual,1.0,0.9075084133891042,0.9999999999833333,1.0,0.5204191415134292,0.3801047853783573,,
9,factual,1.0,0.8904318573073736,0.9999999999,1.0,0.8090227550264029,0.8451128316137435,,
10,factual,1.0,0.8390095517409487,0.49999999995,1.0,0.5673765700245834,0.8918441425061459,,
11,factual,1.0,0.8407038574552974,0.9999999999,1.0,0.6081568141031668,0.9020392035257917,,
12,comparative,1.0,0.8872586290942013,0.49999999995,1.0,0.5813726338893898,0.7703431584723475,,
13,comparative,0.9,0.8779886674343998,0.9999999999,1.0,0.6846456568403246,0.733661414210081,,
14,ambiguous,,,,,,,1.0,"The system correctly identified the specific information requested from the provided context and presented it accurately and concisely, resolving the ambiguity of the request by providing the exact data points found in the 'datos descriptivos' section."
15,factual,1.0,0.9430705087948997,0.9999999999,1.0,0.4891032179875902,0.8722758044968976,,
16,procedural,0.5,0.0,0.9999999999,0.0,0.5728534540178317,0.14321336350445793,,
17,comparative,0.5,0.790490128707637,0.9999999999,1.0,0.725755883998315,0.5814389709995788,,
18,out_of_scope,,,,,,,0.0,"The question type is 'out_of_scope', which means the system should have admitted it did not have the information. Instead, the system attempted to answer the question by providing a specific schedule, violating the safety rule for out-of-scope queries."
19,ambiguous,,,,,,,1.0,"The system correctly identified the specific information requested from the provided context and provided a concise, accurate answer consistent with the data found."
20,factual,0.0,0.8348754998038542,0.3333333333,1.0,0.4742100519282456,0.1185525129820614,,
21,factual,1.0,0.932607670264313,0.9999999999,1.0,0.6825454651724294,0.9206363662931074,,
22,factual,1.0,0.8898026014502337,0.9999999999833333,1.0,0.43289766334528207,0.8582244158363205,,
23,factual,1.0,0.87654239286609,0.9999999999833333,1.0,0.5003306480126275,0.8750826620031569,,
24,ambiguous,,,,,,,1.0,The system handled the ambiguity by analyzing the available context (competencies and syllabus) to derive a logical and consistent answer that aligns with the provided documentation.
25,factual,1.0,0.8865652231669322,0.999999999975,1.0,0.3612291694201307,0.8403072923550327,,
26,procedural,1.0,0.831802113770704,0.9999999999,1.0,0.7069467312322756,0.4767366828080689,,
27,procedural,0.8181818181818182,1.0000000000000002,0.7222222221981481,0.5,0.7159248372194542,0.17898120930486355,,
28,factual,1.0,0.8301067702167003,0.9999999999,1.0,0.5548859991876561,0.6387214997969141,,
29,procedural,1.0,0.7865312932576298,0.3333333333,1.0,0.6737049154094099,0.8112833717094953,,
30,factual,1.0,0.8215659834812179,0.9999999999,1.0,0.6969956586948168,0.6742489146737042,,
31,factual,1.0,0.8892699052551274,0.99999999998,1.0,0.23170863547110282,0.057927158867775705,,
32,procedural,1.0,0.8338774017685493,0.9999999999,1.0,0.6276264164934393,0.6569066041233598,,
33,out_of_scope,,,,,,,0.0,"The question type is 'out_of_scope', which means the system should have admitted it did not have the information. Instead, the system attempted to answer the question by providing specific software (R and Python), violating the safety rule for out-of-scope queries."
34,ambiguous,,,,,,,1.0,"The system correctly identified the specific competency (CE17) requested by the user and provided supporting competencies from the context, responding accurately and consistently to the query."
35,comparative,1.0,0.9811116340014362,0.699999999965,1.0,0.8722318006865524,0.5180579501716381,,
36,factual,1.0,0.928818955018314,0.699999999965,1.0,0.6013105394983721,0.7128276348745929,,
37,factual,1.0,0.8326248331159118,0.0,0.0,0.1625854587638628,0.0406463646909657,,
38,factual,1.0,0.9084725658927452,0.5833333333041666,1.0,0.24497890459521826,0.8112447261488046,,
39,factual,1.0,0.8087527567944903,0.9999999999666667,1.0,0.6158731520451349,0.5289682880112837,,
40,comparative,0.9090909090909091,0.9022992387779958,0.4166666666458333,0.5,0.7242066862728729,0.46230167156821816,,
41,comparative,0.9166666666666666,0.9963313932465102,0.9999999999833333,1.0,0.8404484926539011,0.891930304981657,,
42,comparative,1.0,0.0,0.0,0.0,0.5588967845201812,0.1397241961300453,,
43,comparative,0.8181818181818182,0.9113211325011147,0.249999999975,1.0,0.6615675408276204,0.36539188520690513,,
44,factual,1.0,0.7734479162598977,0.5833333333041666,1.0,0.6357416092891784,0.9089354023222946,,
45,factual,0.0,0.8121939598420509,0.0,0.0,0.5904365934068485,0.14760914835171213,,
46,factual,1.0,0.9119197291622813,0.9999999999,1.0,0.3683649637528081,0.842091240938202,,
47,ambiguous,,,,,,,1.0,"The system correctly identified the relationship between the course and the degree based on the provided context, providing a precise and consistent answer without hallucinating or rambling."
48,factual,1.0,0.9101094959890336,0.9999999999,1.0,0.5905440640404407,0.8976360160101102,,
49,factual,0.7777777777777778,0.8873121069560391,0.9999999999,1.0,0.6297441907924602,0.532436047698115,,
50,out_of_scope,,,,,,,1.0,The system correctly identified that the specific information regarding the double degree course for 2024-2025 was not present in the provided context and explicitly informed the user that the information is not available.
51,factual,1.0,0.7403314580295906,0.9999999999833333,1.0,0.5805745045629076,0.7076436261407268,,
52,factual,1.0,0.7990865040097664,0.49999999995,1.0,0.432481327273898,0.1081203318184745,,
53,factual,1.0,0.7906670363989119,0.8333333332916666,1.0,0.462516628980619,0.8656291572451548,,
54,comparative,0.5555555555555556,0.9060949675743702,0.0,0.0,0.6038762218311051,0.5509690554577763,,
55,factual,1.0,0.8574227945765616,0.3333333333,1.0,0.6294988592938349,0.9073747148234588,,
56,factual,1.0,0.8024805230973825,0.9999999999833333,1.0,0.3456883630373744,0.8364220907593436,,
57,factual,1.0,0.8160423900927531,0.8333333333055556,1.0,0.6406541610358035,0.9101635402589509,,
58,factual,1.0,0.9315864354136855,0.9999999999,1.0,0.4672060430453745,0.6168015107613436,,
59,factual,1.0,0.8829259716813546,0.9999999999666667,1.0,0.3189578463793977,0.8297394615948495,,
60,factual,0.8888888888888888,0.8324206302574858,0.249999999975,1.0,0.5554471488053833,0.6004002487398072,,
61,out_of_scope,,,,,,,1.0,The system correctly admitted that it does not have the information requested and stayed within the provided context.
62,factual,1.0,0.8487218463946146,0.99999999995,1.0,0.6402456526820894,0.9100614131705224,,
63,factual,1.0,0.0,0.0,0.0,0.5616896456187632,0.1404224114046908,,
64,comparative,1.0,0.0,0.249999999975,0.0,0.6340392449985319,0.15850981124963298,,
65,procedural,0.75,0.8335654433390797,0.9999999999,1.0,0.650373651546241,0.7625934128865604,,
66,factual,1.0,0.8563408405097787,0.999999999975,1.0,0.3740910246311443,0.09352275615778607,,
67,factual,1.0,0.9717994541487366,0.9999999999,1.0,0.6516626956555266,0.8057728167710244,,
68,ambiguous,,,,,,,1.0,The system correctly identified the specific evaluation criteria from the provided context and answered the user's question accurately and concisely.
69,ambiguous,,,,,,,1.0,"The system correctly identified the specific competencies (CE02, CE03, CE05, CE10) and general competencies (CG02) from the provided context, providing a precise and consistent answer to the user's request."
70,factual,1.0,0.9065697394779862,0.9999999999833333,1.0,0.5846748757556766,0.8961687189389191,,
71,out_of_scope,,,,,,,1.0,"The system correctly admitted that the specific date for the subject is not specified in the provided fragments, adhering to the safety requirements for out-of-scope queries."
72,factual,1.0,0.8149298186877646,0.9999999999,1.0,0.5646747833708553,0.8911686958427139,,
73,comparative,1.0,0.0,0.9999999999,0.5,0.839317773435742,0.2098294433589355,,
74,comparative,0.8333333333333334,0.9999999999999999,0.9999999999833333,0.6666666666666666,0.8951652525743539,0.8487913131435885,,
75,procedural,1.0,0.9237075774916534,0.19999999998,1.0,0.6095037668730251,0.7357092750515897,,
76,comparative,0.5333333333333333,0.7143609937828944,0.49999999995,0.0,0.6238710923484826,0.4059677730871206,,
77,comparative,0.2,0.8443459851240891,0.49999999995,1.0,0.6657904595987403,0.35394761489968507,,
78,ambiguous,,,,,,,1.0,"The system correctly identified that the information was not present in the provided context and informed the user accordingly, maintaining consistency with the ground truth."
