sample_id,question_type,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior,judge_reasoning
1,procedural,1.0,0.0,0.524999999986875,1.0,0.4938344272955131,0.12345860682387827,,
2,ambiguous,,,,,,,1.0,"The system correctly handled the ambiguity of the question by providing the different possible weights based on the evaluation modality, ensuring a complete and accurate answer."
3,factual,1.0,0.7724032293069792,0.9999999999666667,1.0,0.9453114072307899,0.9863278518076974,,
4,comparative,1.0,0.7843453004602687,0.9999999999,0.5,0.9396632286656696,0.6849158071664174,,
5,comparative,0.5,0.0,0.0,0.0,0.4937772444103743,0.12344431110259357,,
6,procedural,0.9375,0.6317765932609963,0.9999999999,0.0,0.6996807550265454,0.3112838251202727,,
7,ambiguous,,,,,,,1.0,The system correctly handled the ambiguity by providing both possible percentages based on the different evaluation modalities available to the student.
8,factual,1.0,0.6255090172649914,0.9999999999833333,1.0,0.7343347446032041,0.7460836861508009,,
9,factual,1.0,0.9540690251262939,0.9999999999,1.0,0.9725704460779145,0.8859997543766214,,
10,factual,1.0,0.8068874288164857,0.49999999995,1.0,0.8343307868266163,0.9585826967066541,,
11,factual,1.0,0.6829583806866742,0.9999999999,1.0,0.9113230823057781,0.9778307705764445,,
12,comparative,1.0,0.5599886996888895,0.49999999995,1.0,0.9415703070168534,0.7353925767542133,,
13,comparative,0.9166666666666666,0.8692392470784903,0.9999999999,1.0,0.8500237626592049,0.6536824112530365,,
14,ambiguous,,,,,,,1.0,"The system provided a precise and structured answer that directly addresses the user's question based on the provided context, resolving the ambiguity by extracting the specific fields requested."
15,factual,1.0,0.91394773047775,0.9999999999,1.0,0.5819492671199942,0.8954873167799986,,
16,procedural,1.0,0.0,0.9999999999,0.0,0.5584001001416082,0.13960002503540206,,
17,comparative,1.0,0.885336314629416,0.9999999999,1.0,0.9045494520013411,0.8261373630003354,,
18,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not have the necessary information to answer the question, which is the required behavior for out-of-scope queries."
19,ambiguous,,,,,,,1.0,"The system provided a direct, concise answer based on the provided syllabus, resolving the ambiguity by referencing the specific source (the syllabus) and providing the correct data."
20,factual,1.0,0.0,0.3333333333,1.0,0.7168956055293833,0.1792239013823458,,
21,factual,1.0,0.7424425083823323,0.9999999999,1.0,0.976977938817897,0.9942444847044742,,
22,factual,1.0,0.6792626819167237,0.9999999999833333,1.0,0.7067963252420548,0.9266990813105137,,
23,factual,1.0,0.5054938371759871,0.9999999999833333,1.0,0.5387059544316086,0.6346764886079022,,
24,ambiguous,,,,,,,1.0,"The system provided a precise and structured answer based on the specific course objectives, competencies, and learning outcomes, resolving the ambiguity by providing the factual data requested."
25,factual,1.0,0.8345970330691544,0.999999999975,1.0,0.6453481031644541,0.9113370257911135,,
26,procedural,1.0,0.620519313917382,0.9999999999,1.0,0.7013375404616925,0.9253343851154231,,
27,procedural,1.0,0.7171254655956038,0.7222222221981481,0.5,0.705717190795834,0.1764292976989585,,
28,factual,1.0,0.7494553868283065,0.9999999999,1.0,0.720708390590982,0.6801770976477455,,
29,procedural,0.75,0.0,0.3333333333,1.0,0.8527182545917869,0.8560367065050896,,
30,factual,1.0,0.5372226566276527,0.9999999999,1.0,0.5704957986936411,0.7854810925305531,,
31,factual,1.0,0.7736079627125143,0.99999999998,1.0,0.40292410009003055,0.10073102502250764,,
32,procedural,1.0,0.6438308523469883,0.9999999999,1.0,0.9300788312344778,0.9825197078086194,,
33,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not have the information available to answer the question, which is the required behavior for out-of-scope queries."
34,ambiguous,,,,,,,1.0,The system provided a precise and direct answer that resolves the ambiguity by identifying the specific competency (CE17) required for the course context.
35,comparative,1.0,0.753802849731914,0.699999999965,1.0,0.8993662252753527,0.8248415563188383,,
36,factual,1.0,0.5575623664751607,0.699999999965,1.0,0.6545246603522894,0.9136311650880724,,
37,factual,1.0,0.0,0.0,0.0,0.21804337689684622,0.054510844224211555,,
38,factual,1.0,0.7912299727111356,0.5833333333041666,1.0,0.38722605737415283,0.8468065143435382,,
39,factual,1.0,0.7737103437420451,0.9999999999666667,1.0,0.9311953253351191,0.9827988313337798,,
40,comparative,1.0,0.485190538543806,0.4166666666458333,0.5,0.7390763982531314,0.5597690995632829,,
41,comparative,0.9,0.7291578743795526,0.9999999999833333,1.0,0.9119290543096461,0.8946489302440783,,
42,comparative,0.4,0.0,0.0,0.0,0.5210053861550575,0.13025134653876438,,
43,comparative,1.0,0.7773516900274652,0.249999999975,1.0,0.8067242814412013,0.45168107036030036,,
44,factual,1.0,0.7778880410548688,0.5833333333041666,1.0,0.8298883420157427,0.5074720855039357,,
45,factual,0.0,0.0,0.0,0.0,0.3027575615365605,0.07568939038414013,,
46,factual,1.0,0.7637286235144035,0.9999999999,1.0,0.6170896364728948,0.9042724091182237,,
47,ambiguous,,,,,,,1.0,"The system provided a precise, factual, and structured answer that directly addresses the user's question regarding the subject's placement and characteristics within the specific degree plan."
48,factual,1.0,0.4033254077551704,0.9999999999,1.0,0.7176378902656606,0.9294094725664152,,
49,factual,1.0,0.7842122382824429,0.9999999999,1.0,0.824475977780496,0.956118994445124,,
50,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not have the information available to answer the question, which is the required behavior for out-of-scope queries."
51,factual,1.0,0.6678148021179232,0.9999999999833333,1.0,0.9291860900421823,0.9822965225105456,,
52,factual,1.0,0.6801996749517065,0.49999999995,1.0,0.4368116588407087,0.10920291471017718,,
53,factual,1.0,0.7065745795173158,0.8333333332916666,1.0,0.6281701081042068,0.9070425270260517,,
54,comparative,0.8333333333333334,0.66747351964333,0.0,0.0,0.7482030731236388,0.1870507682809097,,
55,factual,1.0,0.6508940541555833,0.3333333333,1.0,0.9265637219522429,0.9816409304880607,,
56,factual,1.0,0.6193268296737465,0.9999999999833333,1.0,0.4626322732833462,0.4156580683208366,,
57,factual,1.0,0.7543495411459196,0.8333333333055556,1.0,0.6210080548247909,0.4552520137061978,,
58,factual,1.0,0.5670658710628552,0.9999999999,1.0,0.46192074436096914,0.41548018609024234,,
59,factual,1.0,0.7812737948028213,0.9999999999666667,1.0,0.5353682537369945,0.8838420634342486,,
60,factual,1.0,0.5876720340682672,0.249999999975,1.0,0.8218870975694189,0.6791559849186705,,
61,out_of_scope,,,,,,,1.0,The system correctly admitted that it does not have the information and that the necessary context was not provided.
62,factual,1.0,0.7228503440767211,0.99999999995,1.0,0.8431620525563008,0.3982905131390752,,
63,factual,0.5,0.0,0.0,0.0,0.6785798320523658,0.16964495801309146,,
64,comparative,1.0,0.0,0.249999999975,0.0,0.5501644996100523,0.13754112490251308,,
65,procedural,0.6666666666666666,0.5587868384798153,0.9999999999,1.0,0.9114268988940435,0.8278567247235109,,
66,factual,1.0,0.8017641627053597,0.999999999975,1.0,0.4797055516814517,0.11992638792036292,,
67,factual,1.0,0.7507267453930678,0.9999999999,1.0,0.9298219317601966,0.8753126257971919,,
68,ambiguous,,,,,,,1.0,"The system provided a precise, structured, and detailed answer to the user's question, resolving the ambiguity by providing the specific evaluation criteria for the requested module."
69,ambiguous,,,,,,,1.0,"The system provided a specific and structured answer based on the requested document, correctly identifying the competencies without introducing unrelated or rambling information."
70,factual,1.0,0.6296327869177512,0.9999999999833333,1.0,0.8537478800020649,0.9634369700005162,,
71,out_of_scope,,,,,,,1.0,The system correctly admitted that it does not have the information and stated that the necessary context was not provided.
72,factual,1.0,0.7356159296430169,0.9999999999,1.0,0.7338962586279929,0.9334740646569982,,
73,comparative,0.5,0.0,0.9999999999,0.5,0.8226553730699002,0.20566384326747505,,
74,comparative,0.7,0.9544830489113854,0.9999999999833333,0.6666666666666666,0.9028091313230877,0.694452282830772,,
75,procedural,0.9285714285714286,0.7161737384593342,0.19999999998,1.0,0.7343763049623373,0.5926849853314934,,
76,comparative,1.0,0.8766999855952124,0.49999999995,0.0,0.6503789698751357,0.16259474246878391,,
77,comparative,0.8571428571428571,0.7371767722009137,0.49999999995,1.0,0.867559298367964,0.4896170973192637,,
78,ambiguous,,,,,,,1.0,The system responded appropriately to the question by providing a specific answer based on the available context and clearly stating the limits of the information provided in the document.
79,factual,1.0,0.5259318614664309,0.9999999999833333,1.0,0.739184741134693,0.6847961852836733,,
80,ambiguous,,,,,,,1.0,"The system provided a precise and structured answer based on the specific competencies (CEIA6, CG18, etc.) associated with the course, resolving the ambiguity by providing the factual requirements of the program."
81,procedural,1.0,0.0,0.9999999999,1.0,0.6234272492453079,0.530856812311327,,
