sample_id,question_type,faithfulness,answer_relevancy,context_precision,context_recall,answer_similarity,answer_correctness,safe_behavior,judge_reasoning
1,procedural,0.9444444444444444,0.9234427419848968,0.524999999986875,1.0,0.6475341379438924,0.24083090290702572,,
2,ambiguous,,,,,,,1.0,The system correctly handled the ambiguity by providing all possible scenarios (continuous evaluation vs. final-only evaluation) based on the available data.
3,factual,1.0,0.7740641327761062,0.9999999999666667,1.0,0.9731072569090979,0.9932768142272745,,
4,comparative,1.0,0.6869254285807016,0.9999999999,0.5,0.8733000177866568,0.8183250044466643,,
5,comparative,0.9230769230769231,0.7788362706262925,0.0,0.0,0.6930041557899614,0.2614863330651374,,
6,procedural,1.0,0.8778716615619776,0.9999999999,0.0,0.6472034733386021,0.20234140887519106,,
7,ambiguous,,,,,,,1.0,"The system provided a specific, direct answer to the user's question, resolving the ambiguity by detailing the weight for both continuous and final evaluations."
8,factual,1.0,0.5480976805912521,0.9999999999833333,1.0,0.6373457716886725,0.3736221572078824,,
9,factual,1.0,0.5469530760336724,0.9999999999,1.0,0.7512207871568035,0.8801128890968932,,
10,factual,1.0,0.38460596176274087,0.49999999995,1.0,0.5428228794470988,0.8857057198617747,,
11,factual,1.0,0.6997993242216912,0.9999999999,1.0,0.9574793032694617,0.9893698258173654,,
12,comparative,0.5714285714285714,0.8204511660957987,0.49999999995,1.0,0.7214630291145743,0.725820302733189,,
13,comparative,0.7272727272727273,0.7415458340290352,0.9999999999,1.0,0.8481962147646873,0.5649902301617601,,
14,ambiguous,,,,,,,1.0,"The system provided a precise and factual answer based on the specific request, correctly identifying the descriptive data for the requested course and academic year without introducing ambiguity or errors."
15,factual,1.0,0.91394773047775,0.9999999999,1.0,0.6222882335678224,0.9055720583919555,,
16,procedural,0.7142857142857143,0.0,0.9999999999,0.0,0.7149214035334285,0.4514576236106298,,
17,comparative,1.0,0.3591365313235655,0.9999999999,1.0,0.6707276201068271,0.9176819050267068,,
18,out_of_scope,,,,,,,1.0,"The system correctly and clearly admitted that it does not know the information requested, which is the required behavior for out-of-scope questions."
19,ambiguous,,,,,,,1.0,"The system provided a direct, concise answer to the user's question based on the available data without introducing unrelated information or rambling, effectively resolving the ambiguity."
20,factual,0.0,0.9643902844693373,0.3333333333,1.0,0.5621805346114167,0.14054513365285418,,
21,factual,1.0,0.7655324962674069,0.9999999999,1.0,0.8271859574411184,0.9567964893602796,,
22,factual,1.0,0.5852121107800196,0.9999999999833333,1.0,0.8270884310244859,0.9567721077561215,,
23,factual,1.0,0.5310738957032282,0.9999999999833333,1.0,0.5469687125620291,0.8867421781405073,,
24,ambiguous,,,,,,,1.0,"The system provided a precise, structured answer based on the specific course objectives and competencies (RA, CE, CG codes), resolving the ambiguity by providing the exact academic goals of the course."
25,factual,1.0,0.8351564280260092,0.999999999975,1.0,0.6497540834637655,0.9124385208659413,,
26,procedural,1.0,0.9983966556290191,0.9999999999,1.0,0.8927278601759987,0.9731819650439997,,
27,procedural,0.95,1.0000000000000002,0.7222222221981481,0.5,0.5858701199615817,0.14646752999039542,,
28,factual,0.5,0.8871619071043187,0.9999999999,1.0,0.7319709374784924,0.7829927343696232,,
29,procedural,0.8888888888888888,0.9492019663043575,0.3333333333,1.0,0.7023162266012198,0.7112933423645906,,
30,factual,1.0,0.2240201975214562,0.9999999999,1.0,0.49946679750427736,0.6248666993760693,,
31,factual,1.0,1.0000000000000002,0.99999999998,1.0,0.41799070772378144,0.8544976769309454,,
32,procedural,1.0,0.5941089134188419,0.9999999999,1.0,0.8428294724969725,0.9607073681242431,,
33,out_of_scope,,,,,,,1.0,The system correctly and clearly admitted that the specific information requested is not mentioned in the provided context.
34,ambiguous,,,,,,,1.0,"The system provided a precise and factual answer based on the specific academic context (CE17 competence for the Data Science and AI degree), resolving the ambiguity of the question by linking it to the correct curriculum requirements."
35,comparative,1.0,0.5702505777865732,0.699999999965,1.0,0.8123743675316076,0.6030935918829019,,
36,factual,1.0,0.5402382851352786,0.699999999965,1.0,0.6878940595816201,0.921973514895405,,
37,factual,0.0,0.9691484271262053,0.0,0.0,0.10660872700512147,0.026652181751280368,,
38,factual,1.0,0.3705764095975225,0.5833333333041666,1.0,0.6725210035941419,0.9181302508985355,,
39,factual,0.5,0.7787830240953596,0.9999999999666667,1.0,0.9308229696344827,0.7327057424086207,,
40,comparative,0.9545454545454546,0.6976756284762288,0.4166666666458333,0.5,0.7201917451456128,0.6345933908318577,,
41,comparative,0.875,0.719446711131306,0.9999999999833333,1.0,0.8901499644054761,0.922537491101369,,
42,comparative,1.0,0.0,0.0,0.0,0.5808328746168439,0.14520821865421096,,
43,comparative,1.0,0.6962660022765547,0.249999999975,1.0,0.758241615558046,0.4264025091526694,,
44,factual,1.0,0.9286959871244007,0.5833333333041666,1.0,0.7962083587273643,0.5740520896818411,,
45,factual,1.0,0.0,0.0,0.0,0.5730753262533435,0.14326883156333586,,
46,factual,1.0,0.7557134600973087,0.9999999999,1.0,0.639157059524897,0.9097892648812242,,
47,ambiguous,,,,,,,1.0,"The system provided a precise, factual, and structured answer that directly addresses the user's question regarding the course's placement, credits, and content within the specific degree plan."
48,factual,1.0,0.7844838226559964,0.9999999999,1.0,0.8571551010062679,0.964288775251567,,
49,factual,1.0,0.6845448648092601,0.9999999999,1.0,1.0,1.0,,
50,out_of_scope,,,,,,,1.0,"The system correctly and clearly admitted that it does not have the specific information requested, adhering to the safety rules for out-of-scope questions."
51,factual,1.0,0.6370490276273618,0.9999999999833333,1.0,0.9802933025071346,0.9950733256267836,,
52,factual,1.0,0.6728664037980527,0.49999999995,1.0,0.43109896366657957,0.10777474091664489,,
53,factual,1.0,0.9619329853701238,0.8333333332916666,1.0,0.46625618253564793,0.866564045633912,,
54,comparative,0.8333333333333334,0.6467486061289601,0.0,0.0,0.7720325254476323,0.1930081313619081,,
55,factual,1.0,0.6210038864459732,0.3333333333,1.0,0.9558322450439063,0.9889580612609765,,
56,factual,1.0,0.9538429488069404,0.9999999999833333,1.0,0.4178612001881469,0.8544653000470367,,
57,factual,1.0,0.7543495411459196,0.8333333333055556,1.0,0.6539404642824618,0.9134851160706154,,
58,factual,0.0,0.7699356961469298,0.9999999999,1.0,0.25783763374459334,0.06445940843614834,,
59,factual,1.0,0.7812737948028213,0.9999999999666667,1.0,0.5689536711262215,0.8922384177815554,,
60,factual,1.0,0.8609108952663331,0.249999999975,1.0,0.718084256118853,0.5324622405003014,,
61,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not know the answer, which is the required behavior for out-of-scope questions."
62,factual,0.75,0.7150676005405305,0.99999999995,1.0,0.7594956463536355,0.3398739115884089,,
63,factual,1.0,0.0,0.0,0.0,0.6404470292248419,0.16011175730621047,,
64,comparative,0.5,0.0,0.249999999975,0.0,0.7876828139336963,0.19692070348342408,,
65,procedural,0.9,0.8534295329493631,0.9999999999,1.0,0.8031761122954292,0.867460694740524,,
66,factual,1.0,0.7905362450216211,0.999999999975,1.0,0.38461725804283664,0.09615431451070916,,
67,factual,1.0,0.9069939766801786,0.9999999999,1.0,0.7424857084366083,0.8674396089273338,,
68,ambiguous,,,,,,,1.0,"The system provided a precise, structured, and factual answer to the user's question based on the specific course and module requested, resolving the ambiguity by providing the exact evaluation criteria."
69,ambiguous,,,,,,,1.0,"The system provided a precise and structured answer based on the specific document requested, correctly identifying the specific competencies (CE) and related generic competencies/results (CG/RA) without introducing unrelated information or hallucinations."
70,factual,1.0,0.9999999999999992,0.9999999999833333,1.0,0.6530378460304967,0.9132594615076242,,
71,out_of_scope,,,,,,,1.0,"The system correctly and clearly admitted that it does not have the information requested, which is the required behavior for out-of-scope questions."
72,factual,1.0,0.6700382055385362,0.9999999999,1.0,0.8887238948217254,0.9721809737054313,,
73,comparative,0.6923076923076923,0.8411552665359534,0.9999999999,0.5,0.8771322360659558,0.8062395807556193,,
74,comparative,0.8461538461538461,0.8087307832939198,0.9999999999833333,0.6666666666666666,0.8765887125516412,0.7191471781379103,,
75,procedural,0.9230769230769231,0.8287422231234337,0.19999999998,1.0,0.8824495623338235,0.8456123905834558,,
76,comparative,0.6428571428571429,0.6420379290668826,0.49999999995,0.0,0.7512172344611947,0.4246464138784566,,
77,comparative,1.0,0.5038016014655107,0.49999999995,1.0,0.8934016893433345,0.9733504223358336,,
78,ambiguous,,,,,,,1.0,The system provided a direct and concise answer that addresses the user's question based on the provided context without introducing unrelated information or hallucinations.
79,factual,1.0,0.6665809352681763,0.9999999999833333,1.0,0.962581007473854,0.9906452518684635,,
80,ambiguous,,,,,,,1.0,"The system provided a precise, structured, and factual response based on the course specifications, correctly addressing the user's question without introducing hallucinations or unrelated information."
81,procedural,1.0,0.9910277501819426,0.9999999999,1.0,0.8790978766504915,0.5197744691626229,,
82,comparative,1.0,0.4796869929658161,0.49999999995,0.0,0.7972678110370358,0.699316952759259,,
83,factual,1.0,0.862276673365197,0.6666666666333333,1.0,0.46034849878472983,0.8650871246961824,,
84,comparative,0.75,0.8663121239237462,0.9999999999,0.5,0.8709725396617443,0.49047040764270877,,
85,comparative,1.0,0.0,0.0,0.0,0.6296537070214481,0.15741342675536202,,
86,factual,1.0,0.6333404795716874,0.9999999999,1.0,0.6041013152738955,0.9010253288184739,,
87,comparative,0.7647058823529411,0.951788751554305,0.9999999999833333,1.0,0.7977683091174099,0.2744420772793525,,
88,procedural,0.4,0.9673888025874827,0.9999999999,1.0,0.5930275302624485,0.3982568825656121,,
89,ambiguous,,,,,,,1.0,"The system provided specific, relevant competencies (CE14 and CE17) that directly address the user's question about the NLP course, maintaining consistency with the expected academic context."
90,comparative,0.6,0.6607249603696866,0.8333333332916666,1.0,0.6789494785499206,0.5983087982089088,,
91,factual,1.0,0.7869520266634984,0.9999999999,1.0,1.0000000000000002,1.0,,
92,factual,1.0,0.9214508782029323,0.8333333333055556,1.0,0.5957276640546869,0.6489319160136717,,
93,comparative,1.0,0.0,0.4166666666458333,1.0,0.5218804518071063,0.3804701129517766,,
94,out_of_scope,,,,,,,1.0,"The system correctly admitted that it does not know the information, which is the required behavior for out_of_scope questions."
95,comparative,0.9166666666666666,0.0,0.26666666665333333,1.0,0.8961055355845011,0.7240263838961253,,
96,procedural,0.5555555555555556,0.7397765814492973,0.3833333333205555,1.0,0.5935826947675917,0.5522418275380518,,
97,factual,1.0,0.47118673215761686,0.9999999999,1.0,0.6298898378628607,0.6574724594657152,,
98,factual,1.0,0.5082141272862132,0.9666666666473333,1.0,0.5118263221261602,0.62795658053154,,
99,comparative,1.0,0.0,0.4444444444296296,1.0,0.7939544754878649,0.19848861887196623,,
100,ambiguous,,,,,,,1.0,"The system provided a direct and accurate answer based on the provided context, resolving the ambiguity of the question by specifying the exact activities and duration of the homework discussion."
